id,name,start,river_mile,lat,lon,distance,po_from,po_to,side
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,18.868269329389964,1812,1855,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,16.049950094553417,1776,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,15.772770053974217,1976,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,19.371369229089456,1862,1956,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,3.9455915592975375,1827,1833,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,5.39317335849476,1894,1900,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,11.542466577472089,1851,1856,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,11.542466577472089,1861,1870,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,11.542466577472089,1912,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,10.489415607497616,1892,1901,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,10.489415607497616,1850,1892,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,10.489415607497616,1833,1833,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,13.489722906187728,1885,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,13.08531901603797,1914,1975,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,15.32099602524261,1894,1906,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,10.702328441648593,1890,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,12.787563389979166,1851,1854,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,4.024945406829109,1833,1901,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,7.316115465281125,1891,1903,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,7.462582515227622,1878,1925,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,4.076499855774163,1870,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,10.679426721848559,1870,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,4.076499855774163,1886,1893,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,5.6048327193725065,1893,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,9.460868058108218,1894,1904,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,3.535896296117502,1951,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,3.347401413994193,1883,,left
1,Alfred H. Smith Memorial Bridge,1924,144,42.50816,-73.77383,6.560788149365239,1876,,left
