id,name,start,river_mile,lat,lon,distance,po_from,po_to,side
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,13.120208423255963,1869,1877,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,13.120208423255963,1893,1907,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,13.120208423255963,1873,1893,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,10.499091903170678,1836,1918,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,11.720751947372577,1854,1972,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,11.720751947372577,1972,,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,3.1960612643726756,1875,1891,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,7.190947970916101,1893,1901,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,10.632954902866983,1863,1897,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,10.632954902866983,1897,1903,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,8.589118577163548,1890,1930,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,11.038393164433497,1883,1901,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,8.524972740455217,1857,1867,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,8.969508169381788,1898,1901,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,1.4989155697051744,1854,,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,9.654573627195127,1890,1938,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,9.654573627195127,1938,,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,17.165229574191073,1887,1925,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,19.017877840822745,1888,,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,13.158893520591791,1857,1879,left
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,12.385574542301327,1879,1928,right
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,14.708982200194738,1858,1889,right
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,10.611487857728498,1889,1950,right
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,10.611487857728498,1950,,right
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,7.4004211999049545,1898,1913,right
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,4.255810014417496,1886,1891,right
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,16.16920033286652,1888,1923,right
1,10th Avenue Bridge,1929,1659,44.97531,-93.246,13.734122165895473,1852,1876,right
