name,start,river_mile,left_1790,left_1800,left_1810,left_1820,left_1830,left_1840,left_1850,left_1860,left_1870,left_1880,left_1890,left_1900,left_1910,left_1920,left_1930,left_1940,left_1950,right_1790,right_1800,right_1810,right_1820,right_1830,right_1840,right_1850,right_1860,right_1870,right_1880,right_1890,right_1900,right_1910,right_1920,right_1930,right_1940,right_1950
B.B. Comer Bridge,1930,347,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3
Bridgeport Railroad Walking Bridge,1851,374,0,0,0,0,0,2,2,4,4,7,7,7,8,8,8,8,8,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3
C.C. Clay Bridge (Northbound),1931,295,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Calvin J. Ward Bridge,1931,472,0,0,1,1,1,1,1,2,2,3,4,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark Memorial Bridge,1931,3,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2
CSX Tennessee River Bridge (barge channel spans),1855,375,0,0,0,0,0,2,2,4,4,7,7,7,8,8,8,8,8,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2
CSX-Norfolk Southern Tennessee River Drawbridge (Decatur),1855,270,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,0,0,0,0,1,1,2,2,3,3,5,5,7,8,8,8,8
Eggner's Ferry Bridge,1932,41,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,3,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3
Fort Loudon Bridge,1965,492,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,0,0,0,1,1,1,1,2,5,5,6,6,6,6,6,6,6
Henley Street Bridge,1931,514,0,1,1,1,1,1,1,1,1,2,3,3,3,3,3,5,5,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2
John Snodgrass Bridge,1958,365,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,2,3,3,3,4,4,4
Johnsonville Railroad Bridge,1867,93,0,0,0,1,1,2,2,2,3,4,5,6,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
Keller Memorial Bridge,1925,271,0,0,0,1,1,1,1,1,2,3,3,3,3,4,4,4,4,0,0,0,0,1,1,1,1,1,2,4,4,5,6,6,6,6
Kentucky Dam,1944,19,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3
Loudon Steel Bridge,1929,486,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,4,4,0,0,0,0,1,1,1,2,6,6,8,8,8,8,8,8,8
Market Street Bridge,1917,400,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,0,0,0,0,0,3,3,3,4,5,11,15,16,18,18,18,18
NS - Tennessee River Bridge,1880,405,0,0,0,0,0,0,0,0,0,2,2,4,4,4,5,5,5,0,0,0,0,0,3,4,5,6,7,13,18,19,20,20,20,20
O'Neal Bridge,1939,223,0,0,0,1,2,4,4,4,4,4,4,5,5,5,5,5,5,0,0,0,0,2,3,3,3,3,3,4,4,4,5,5,6,6
Old Bridgeport Railroad Bridge,1851,374,0,0,0,0,0,2,2,4,4,7,7,7,8,8,8,8,8,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3
