river_mile,water_covered_area,bridges,post_office_count
0,0.04173585932722467,2,81
6,0.08157135242579977,3,113
12,0.08860411364852258,1,105
18,0.10717792571080047,0,64
25,0.17891002278359616,1,42
31,0.2516313654078288,1,32
37,0.19331966304871262,0,27
43,0.10081556448244199,1,27
50,0.06102972610430468,1,25
56,0.09186322938006883,0,28
62,0.10199280007816712,0,32
68,0.06393484961326673,2,30
75,0.04726729702828114,2,24
81,0.06106915747219312,1,17
87,0.08377572588647073,1,31
93,0.08429241689152575,1,27
100,0.07353493763765759,1,37
106,0.07114961871326596,1,29
112,0.06700006974840227,1,20
118,0.054413155010760925,0,14
125,0.038880869193868454,0,23
131,0.027798174187211838,2,26
137,0.022009299506951147,2,32
143,0.016768632454636924,1,38
150,0.015620500351753755,3,36
156,0.01783707879154782,2,20
162,0.01875941874629565,1,21
168,0.01645328935417475,1,16
175,0.013447821135363112,2,17
181,0.01431021417261886,2,15
187,0.019575372017738974,2,11
193,0.016186191434145986,2,10
200,0.025763119922950453,2,14
206,0.02183084310910345,0,12
212,0.016665352492709846,2,7
218,0.009773756457343113,2,3
225,0.010344247802505372,1,6
231,0.00931193618099627,1,11
237,0.00608042840030768,1,11
243,0.006275922784881823,2,14
250,0.007168445239701095,2,14
256,0.007185268921178002,1,7
262,0.006435798629106596,0,3
268,0.003528707214596655,0,0
