river_mile,water_covered_area,bridges,post_office_count
0,0.0165430572419058,1,8
6,0.02762043863869224,1,7
12,0.04205523568635329,2,5
18,0.13645867844233805,2,6
25,0.24892565302679953,0,6
31,0.24938945539478308,1,6
37,0.1843063528678856,1,7
43,0.1927529928929,1,5
50,0.2121229192018856,0,8
56,0.20677784667757657,1,9
62,0.2687670100372442,1,7
68,0.30701485040222,0,6
75,0.18503347799532086,0,8
81,0.1792604406255606,0,9
87,0.16952460120829016,1,8
93,0.16233140669927337,1,9
100,0.1465049798547161,0,10
106,0.10387500133636637,0,13
112,0.06500740361121886,0,8
118,0.055018189479921605,0,5
125,0.05497556769444469,0,7
131,0.03790416674402262,0,10
137,0.046054011721047484,0,12
143,0.03221631582445123,0,9
150,0.02925999586017842,0,9
156,0.029157293596573097,0,11
162,0.025731937571539725,0,8
168,0.049171129697426416,0,8
175,0.15402127936033264,0,11
181,0.14470501785701476,0,9
187,0.18564541335954518,0,8
193,0.17094856924056423,0,8
200,0.10796942500342432,0,10
206,0.08474894376808137,0,9
212,0.07672480884136157,0,5
218,0.08141735150583998,3,11
225,0.1282398568436388,3,11
231,0.17317230307143777,1,8
237,0.1780422602601886,1,2
243,0.17025732462085208,0,3
250,0.20399838104560986,0,6
256,0.2171405633017812,0,6
262,0.21022739847832012,3,12
268,0.1372043281651054,3,10
275,0.10091171961443583,0,6
281,0.06686458677284664,0,11
287,0.04735521874783589,1,6
293,0.02754529246754428,1,8
300,0.038562804722487014,0,11
306,0.13456063912094543,0,9
312,0.26847108194883,0,10
318,0.2652328532296441,0,7
325,0.21522638414030973,0,5
331,0.22757138046257214,0,6
337,0.1711658529865686,1,5
343,0.10697967815712256,1,7
350,0.10184640614338143,0,7
356,0.08599052337307134,1,6
362,0.050821757446398566,3,9
368,0.04480299990598012,4,11
375,0.07411524756942156,2,13
381,0.08064758387957388,0,8
387,0.05634153934505424,2,10
393,0.04436202539039349,3,25
400,0.08574673454029896,1,21
406,0.12481436236996164,0,8
412,0.10175928204402977,0,7
418,0.08784814679004557,0,2
425,0.11208267376201708,0,2
431,0.09183332045848815,0,5
437,0.04303104500501958,0,6
443,0.10173800978319714,0,7
450,0.18615747260695772,0,12
456,0.1802917425643867,0,8
462,0.14077882569183975,1,7
468,0.08530646233063113,1,7
475,0.05782443596637202,1,9
481,0.05587541017489532,2,12
487,0.07158028111790442,1,12
493,0.08577192152063264,0,11
500,0.06510091053689819,0,9
506,0.03170661539863009,1,10
