river_mile,water_covered_area,bridges,post_office_count,crossing_points
0,0.042451666546282,0,1,0
6,0.06081055514508481,0,0,0
12,0.04306067068709872,1,1,1
18,0.06472502766582161,1,2,1
25,0.19913656008560277,0,3,0
31,0.11114028224552028,0,1,0
37,0.0764602848588954,0,0,1
43,0.08247043785450775,0,4,0
50,0.0422429369230736,0,2,1
56,0.08618255169380423,0,5,0
62,0.06561228656971006,0,2,1
68,0.1020731476135515,2,1,0
75,0.0817950231420108,0,0,0
81,0.051954025082595626,0,1,1
87,0.1157695989207395,0,3,1
93,0.10053536180590879,0,1,0
100,0.07305829964211938,0,3,0
106,0.06595762214683208,0,0,1
112,0.06512154512378832,5,5,1
118,0.06348151282768262,3,4,1
125,0.08142076758459985,0,3,0
131,0.09205555245643503,0,3,0
137,0.06872410777836484,0,1,1
143,0.06020590734271675,0,8,1
150,0.08149202573714438,0,1,2
156,0.05678134907064637,0,0,1
162,0.057302025867287075,1,2,1
168,0.06834535600667457,1,5,0
175,0.0790487951052874,0,1,0
181,0.06927625016758064,0,2,2
187,0.0729430400757624,0,2,1
193,0.08354359589223989,1,1,1
200,0.30344712636515914,0,1,1
206,0.24271227123770603,0,4,1
212,0.3194260170943571,0,0,0
218,0.3695647825168265,0,2,0
225,0.25309502163376313,1,2,0
231,0.07385277806402939,0,0,0
237,0.06596351002268808,0,1,0
243,0.05387391800321574,0,3,1
250,0.04910151885373341,1,2,0
256,0.0823985240584422,0,1,0
262,0.08959258821870664,0,3,1
268,0.11826770382268173,0,1,0
275,0.05431441548537753,0,1,1
281,0.0942659368915974,0,3,2
287,0.06868933495216979,3,2,3
293,0.07980266915369907,3,3,1
300,0.040907437965589794,0,2,1
306,0.04384648555870012,0,2,0
312,0.09204570184447781,1,4,0
318,0.0470699762907343,0,2,0
325,0.22810055559505696,0,1,1
331,0.7383145959338602,0,1,0
337,0.2622152781593039,0,0,0
343,0.46451602923377355,0,1,0
350,0.19006775028856795,0,0,0
356,0.0805545010222303,2,2,0
362,0.11813679715310685,0,0,0
368,0.1652894054639931,0,1,0
375,0.08640229519960917,0,0,0
381,0.04970798280261519,0,0,0
387,0.054509018911416005,3,2,0
393,0.0537126834202122,0,1,0
400,0.04352034325601387,0,3,0
406,0.022331400779952378,1,1,0
412,0.02725899737383775,1,0,0
418,0.059087804017266224,0,1,0
425,0.08768939103988722,0,1,0
431,0.09911073589040512,1,1,0
437,0.07115542701341918,1,1,0
443,0.06668485044528867,1,3,0
450,0.06139778057767817,4,4,0
456,0.058444610449624505,0,3,0
462,0.1308288443313157,0,0,0
468,0.18994862444735727,0,1,0
475,0.15456376955156392,0,2,0
481,0.19699360904831625,0,1,0
487,0.18039798858504894,0,3,0
493,0.036685905171257485,0,0,0
500,0.04351389876176953,1,1,0
506,0.031191395468522173,0,0,0
512,0.030497859115448594,1,1,0
518,0.03318714955980553,0,1,0
525,0.030288941049490984,1,0,0
531,0.025427799628183246,0,0,0
537,0.02955274284026816,0,0,0
543,0.031108122302610182,0,0,0
550,0.0392705749950907,0,0,0
556,0.028977138038067955,0,0,0
562,0.018901022047497166,1,3,0
568,0.043949147371001675,0,0,0
575,0.302819437932914,0,1,0
581,0.16864889257510857,0,0,0
587,0.023319717656160102,0,0,0
593,0.015042413374054483,0,1,0
600,0.019053787788965,2,2,0
606,0.020726078388592636,1,3,0
612,0.022960439684884114,1,5,0
618,0.01752896455897199,1,2,0
625,0.01550052273732679,0,2,0
631,0.016396393166671932,0,0,0
637,0.023377247020382772,0,2,0
643,0.019140047732051278,0,2,0
650,0.019193611134992683,5,1,0
656,0.029454421970949184,0,0,0
662,0.017108580600804942,0,1,0
668,0.014715456625026204,0,2,0
675,0.01269511070437682,1,1,0
681,0.012385050507490435,0,0,0
687,0.011622147999719083,0,2,0
693,0.011629290263982092,2,2,0
700,0.012201737280910008,0,1,0
706,0.01003474528363404,1,1,0
712,0.01319525299072854,0,2,0
718,0.011058614489508433,0,1,0
725,0.010440356113461623,0,1,0
731,0.007192761829808599,0,0,0
