river_mile,water_covered_area,bridges,post_office_count,crossing_points
0,0.02913924675102109,1,4,0
6,0.11705690072007074,0,6,0
12,0.06335069701703509,1,3,0
18,0.06015610868871003,0,5,0
25,0.05668333516226177,2,5,0
31,0.04523072070465511,0,5,0
37,0.04931435231330477,0,10,0
43,0.048915410294442185,2,7,0
50,0.04578351761630667,0,2,0
56,0.043401545450833204,1,6,0
62,0.054020553592104156,1,1,0
68,0.03900568426134228,3,19,0
75,0.03914979497735998,1,9,0
81,0.04950072305491676,2,2,0
87,0.03812164837148224,0,4,0
93,0.028085447851099756,1,3,0
100,0.04058870373276426,3,8,0
106,0.03590460260519213,1,5,0
112,0.026805376895280054,3,5,0
118,0.061376697549574914,0,4,0
125,0.03431517085305662,3,6,0
131,0.025558235317094963,0,5,0
137,0.02484640329148148,0,4,0
143,0.018790018084957585,8,10,0
150,0.03313176295523841,0,2,0
156,0.03596182325562086,1,1,0
162,0.03158547786450212,0,4,0
168,0.029697364022183575,1,2,0
175,0.020114573267287245,0,4,0
181,0.021966508864624257,1,5,0
187,0.022295701510531753,1,5,0
193,0.023350181173354946,0,4,0
200,0.019374604280868263,1,6,0
206,0.02027528406311924,1,4,0
212,0.026227856470505094,1,4,0
218,0.028817508048424093,0,3,0
225,0.01948086581947015,3,5,0
231,0.03453962361244045,2,4,0
237,0.04641619570059933,0,2,0
243,0.10393432233531578,1,2,0
250,0.09534777460192943,0,1,0
256,0.0145226842641396,2,9,0
262,0.024716419808869364,1,4,0
268,0.022931589989958125,0,3,0
