river_mile,river_width
6,1221.7964017067818
12,1574.607065181044
18,1594.7898018983462
24,4184.247991039971
31,3229.5271471964656
37,4005.8955560710633
43,573.6999795031118
49,612.5362705288101
55,2509.135055809142
62,1848.625245625056
68,669.0984872347295
74,719.9239736072584
80,856.6416757443134
86,1175.4752026022772
93,1314.341540433151
99,703.199512548159
105,1499.5756215951806
111,923.8419829571563
118,987.3173335672195
124,734.1009875799609
130,378.7674971463005
136,427.9939498258634
142,274.1531817968798
149,240.10533399591614
155,287.3219158640096
161,150.27139782197838
167,259.9659535646801
173,2828.5533489929185
180,145.54849109941205
186,653.0646387913681
192,1498.205131196085
198,938.8533224371167
205,1654.5736266048152
211,1102.6295611252242
217,203.5606022347072
223,309.6308423408985
229,190.7763004202198
236,67.86548206586053
242,112.20824984366263
248,70.87699361350371
254,96.83166210767887
260,73.85128397634287
