river_mile,river_width
1,954.3842298164062
2,794.1828272565709
3,859.0787525886487
4,889.1408209215158
5,919.2409416900424
6,962.1723753871445
6,7259.725028408031
7,4095.4539584085046
8,9377.764841023265
9,838.3877783058924
10,946.927192825753
11,757.6233544265931
12,724.3079939614079
13,737.6219492568248
14,812.8432112491895
15,888.9052537984628
16,763.152033401446
17,660.463203469071
18,726.8754419034133
19,664.1353652257119
20,872.2167990146288
21,653.2207587188365
22,689.0015507484708
24,614.67210979372
25,691.6844859463802
26,681.5794668927244
27,734.0955631013534
28,633.6387810179681
29,789.402420542099
30,824.5392377257323
31,790.1860255191398
32,760.0444885402113
33,755.0211285533798
34,820.1831249102523
35,866.6946968787205
36,662.2734834544856
37,722.6605421371291
38,819.7361953411448
39,841.6313387942625
40,703.547677563341
41,672.6318628880678
42,741.1948366070329
43,683.6545417674615
44,833.0585092096959
45,745.1067743973274
46,765.0164746586408
47,749.6914480897794
48,675.0533295967938
49,680.4726960258312
50,604.1624032297175
51,820.9085565390969
52,773.6566184830056
53,778.0651330171489
54,739.9487096080398
55,758.5592483623685
56,744.8041654991949
57,2567.1977963401864
58,12510.015962572683
59,4229.420144677027
60,2745.840671571123
61,4708.885851450458
62,6397.83544886735
63,5773.156456124784
64,6746.974582331003
65,4972.276172079717
66,2191.0050480708633
67,3780.4682319995372
68,4254.570522681475
69,2558.5223366693244
70,2502.064908696616
71,2476.6218819130067
72,2792.8849543732254
73,16020.146563820623
74,2613.6013186212867
75,683.5924047940377
76,742.9068711997578
77,757.071995256024
78,704.2653856324104
79,771.3941721236044
80,3486.2763988066354
81,10751.883966234393
82,5943.290443807347
83,6326.499944172094
84,6020.937652087785
85,13560.898479908736
86,890.7538749703326
87,2059.331008451779
88,2321.639802053396
89,962.5924884186911
90,4619.580588399439
91,9943.710915110107
92,4057.694824072494
93,1837.413752136289
94,638.9412297979527
95,690.2015241979931
96,708.5126029218308
96,923.2817316555787
97,5428.495579575258
98,2275.754569642658
99,2198.5695693368602
100,13948.91075748642
101,2575.1008624837177
102,5273.379040421348
103,696.9591540195277
104,749.4997318547878
105,807.7169211873401
106,810.0551837458082
107,668.6992913574009
108,845.0521237209109
109,735.5044090171334
110,7137.094366670369
111,4223.303800979145
112,930.6774874184895
113,689.9538934298973
114,3544.586850416079
115,1059.666797632201
116,1245.5700606855455
117,10865.285582169057
118,2208.087982675158
119,4781.199162739933
120,722.7289775492455
121,3709.1057170648255
122,5526.233711914249
123,1758.576952722928
124,10612.237955620709
125,858.1697217689956
126,847.5122958344971
127,4054.7072367604924
128,2027.3004418530552
129,7094.526500265711
130,1540.8075905251292
131,2787.0221975988643
132,6833.867335738079
133,22457.13957221466
134,3630.804567658099
135,3072.349604898544
136,3241.133998724348
137,1798.6152713528145
138,922.2796350591248
139,8256.12365229199
140,2396.5767633415185
141,698.341475364998
142,636.7869424244325
143,12992.910186424004
144,5962.088891070098
145,729.5282922894097
146,634.9883135959637
147,691.1303033007939
148,805.2183303876137
149,10094.301546929146
150,9315.806578373653
151,2942.7943682653186
152,9391.84035384794
153,1104.149379136397
154,2619.803356962619
155,2560.1701725344656
156,646.5928896944957
157,861.940033419036
158,848.5649855075649
159,775.2061014103224
160,700.0579337582197
161,697.062609996053
162,4141.3693471598335
163,4972.7957208213775
164,9234.017744701488
165,812.9879400893744
166,2579.331330955802
167,795.0128139676319
168,882.5920084146298
169,4370.127270442152
170,9407.699885971702
171,5978.390098026403
172,1181.346303309372
173,1066.2444591075255
174,2965.364933642256
175,2680.764231262373
176,3673.448717745907
177,4833.003000144382
178,1241.5233994663647
179,1181.1360105072013
180,6764.70724630083
181,4081.0123814327853
182,7790.271639142309
183,867.3262792344766
184,848.6337088303987
185,815.0490073705074
186,961.6770899338284
187,902.3688553909187
188,728.151179880877
189,801.2305844652103
190,847.9988640294149
191,1191.0732067659108
192,2573.179223967311
193,797.5066718137115
194,1192.7002296346302
195,863.5013485138362
196,1093.67938208964
197,2150.4573076274087
198,1233.363201630838
199,2252.993768549395
200,1164.7295720822808
201,621.8271008462948
202,1211.5476614910594
203,1142.9734236774566
204,1128.281769041726
205,1292.2503090023538
206,1179.42929527453
207,829.6681989763667
208,877.4415527329087
209,626.16439091979
210,626.701850919834
211,904.6410858110439
212,6535.413841800653
213,15599.794117878773
214,12561.075903255483
215,6206.424771038509
216,6178.240990874707
217,27603.918705280113
218,19609.34958425767
219,2936.7231067669304
220,4135.628408418967
221,3220.454430233419
222,5004.8018294943595
223,711.0736350590942
224,7647.309299087772
225,2839.5855418841074
226,5094.457490903904
227,3273.20542029661
228,5599.432988505265
229,2472.025215734291
230,4960.391044572838
231,894.7858885924516
232,1102.2161734454498
233,835.6675170412791
234,889.3023000681779
235,778.6648648721754
236,840.7117928418735
237,810.7576736244571
