river_mile,water_covered_area,bridges,post_office_count,crossing_points
0,0.057178133032009186,0,4,1
6,0.09482128109152084,2,1,0
12,0.08602281707300656,0,2,2
18,0.09538714121417582,0,0,1
25,0.08317949662045361,6,3,1
31,0.08680907685744402,1,1,0
37,0.08630535098873597,1,0,1
43,0.06376943955107625,0,2,0
50,0.05487299017996159,0,2,0
56,0.05561883942507179,0,2,1
62,0.054856652784321995,1,3,0
68,0.05743611287245382,0,3,1
75,0.05062548576330355,0,3,2
81,0.05608449587472223,0,7,0
87,0.059631478102266676,1,4,1
93,0.04935640376271003,0,1,1
100,0.05392114667874287,0,4,2
106,0.05694516797035856,0,2,0
112,0.05112448853974867,0,4,0
118,0.056923894644228853,0,5,1
125,0.04731765195632966,0,2,2
131,0.04815797551092483,0,1,0
137,0.05017857775405123,2,3,1
143,0.044533056190091305,0,1,1
150,0.0588418053926914,0,4,1
156,0.04855414792966098,0,1,0
162,0.03951970154361228,0,3,1
168,0.049233986106047734,0,3,1
175,0.046661931533808834,1,2,0
181,0.044133863129448204,0,1,1
187,0.04390574789551692,2,1,2
193,0.04466694129482651,0,0,1
200,0.05384540583779111,0,3,0
206,0.06139783548784279,0,3,1
212,0.06167771440094436,2,1,0
218,0.05262569911783069,0,2,0
225,0.04418091594331956,0,3,0
231,0.04639661681904969,0,1,1
237,0.053710367662164894,0,1,0
243,0.06552003754372657,0,0,0
250,0.044323321135797025,1,2,0
256,0.0534775262033408,0,2,1
262,0.04796242997236558,0,4,3
268,0.0522023084710825,0,1,1
275,0.042232694243953726,1,5,0
281,0.04198626797736567,0,2,1
287,0.04586617637054654,0,2,1
293,0.0402167453032386,0,0,1
300,0.0366684840166695,1,1,1
306,0.049201025458409375,0,2,1
312,0.04269801631288195,0,3,2
318,0.04072607493032086,1,2,0
325,0.045542512525788295,0,1,0
331,0.040778354839449776,2,3,1
337,0.047347593979553904,1,8,0
343,0.0632947931286382,7,10,1
350,0.05336440977046219,2,2,0
356,0.0497751918218755,0,3,2
362,0.04361494254283572,0,3,1
368,0.03890539294388957,0,3,0
375,0.03720172359480825,3,8,0
381,0.05164650505296356,1,8,0
387,0.032122760941056636,0,3,1
393,0.02891671534014466,0,2,0
400,0.0331076490618931,3,2,1
406,0.029005623888753662,0,1,0
412,0.031144805867368116,0,2,2
418,0.05924852531381081,0,2,1
425,0.05591988968533869,2,4,1
431,0.033232049102577245,0,1,0
437,0.036993641493571164,0,3,0
443,0.033481944981130066,0,3,1
450,0.03492327731945885,0,1,1
456,0.03346276792902579,0,2,0
462,0.02964612517911895,0,1,1
468,0.03488644212771867,2,3,0
475,0.031487305112855656,0,1,0
481,0.032841886453745736,0,2,0
487,0.031013276634230105,0,1,0
493,0.03122169904413356,0,2,0
500,0.04314531264795924,0,4,0
506,0.03236648164995657,1,2,0
512,0.030721276588141094,0,2,0
518,0.03305512968297761,0,1,0
525,0.03216436168697074,0,1,0
531,0.03015885711283762,2,3,0
537,0.03217172424693303,0,1,0
543,0.03131642164884708,0,3,0
550,0.03291447286513719,0,6,0
556,0.03173524005557923,3,5,0
562,0.034085997446300274,2,5,0
568,0.03874791057376308,1,4,0
575,0.0870089785736915,0,2,0
581,0.053331379546893876,7,5,0
587,0.06097113016457589,1,2,0
593,0.04725453142494523,1,1,0
600,0.04164296728961073,0,2,0
606,0.028490512729897402,0,2,0
612,0.02887574927235813,3,1,0
618,0.02627655749952431,0,0,0
625,0.041912065345830425,0,0,0
631,0.04120847770992752,0,1,0
637,0.03185653123582094,0,1,0
643,0.045219695250995284,0,1,0
650,0.06422555268710918,0,0,0
656,0.0608607319968586,1,2,0
662,0.03155730593975415,0,0,0
668,0.050699226458962944,0,1,0
675,0.04230305845170222,0,1,0
681,0.030089501360950368,0,0,0
687,0.0417719758728569,0,5,0
693,0.05353775353257279,3,5,0
700,0.06586255675207851,0,2,0
706,0.08894469986459078,0,0,0
712,0.05600109252871887,0,2,0
718,0.08345597727928096,0,2,0
725,0.08235503229982963,0,1,0
731,0.12422359481556382,0,0,0
737,0.12325422340337958,0,0,0
743,0.09947083911678797,0,1,0
750,0.08897899817995324,0,1,0
756,0.0839917698468327,0,0,0
762,0.06873601062731552,1,4,0
768,0.34313530060925573,0,1,0
775,0.39562837076051394,0,0,0
781,0.504619036932771,0,0,0
787,0.16085870001614372,0,2,0
793,0.07572716029772919,0,1,0
800,0.08412003207135377,0,0,0
806,0.057432745287515026,0,1,0
812,0.045801598340342184,0,0,0
818,0.06812995359981878,0,1,0
825,0.05947388856955874,0,0,0
831,0.15542332187979263,0,1,0
837,0.36400711511854494,0,0,0
843,0.31985634134851026,0,1,0
850,0.3388765661294419,0,1,0
856,0.3373216047300348,0,0,0
862,0.21961456984411676,0,0,0
868,0.2338002114865157,0,1,0
875,0.2432100913843451,0,0,0
881,0.25091284791437896,0,0,0
887,0.2476273453126676,0,1,0
893,0.2151707307077342,0,0,0
900,0.20946351134447655,0,0,0
906,0.31681557865634796,0,0,0
912,0.30005858285770726,0,0,0
918,0.21287703525395568,1,1,0
925,0.19248145795677427,1,2,0
931,0.2159316505867061,0,0,0
937,0.23830731083486525,0,0,0
943,0.23670072150319305,0,1,0
950,0.4281368605615906,0,2,0
956,0.505444014522753,0,0,0
962,0.41773576512246663,0,0,0
968,0.21963206567803126,0,1,0
975,0.1993585000603673,0,0,0
981,0.18975427856330984,0,0,0
987,0.19480709134420765,0,1,0
993,0.1608100554984206,0,0,0
1000,0.1984449363122094,0,2,0
1006,0.13207594487145113,0,0,0
1012,0.0884428329998672,2,5,0
1018,0.2035618766621072,0,0,0
1025,0.47190675026900286,0,1,0
1031,0.35167819634975844,0,1,0
1037,0.49681535964106965,0,1,0
1043,0.5060976675462061,0,1,0
1050,0.5818308207161714,0,1,0
1056,0.5059757067051585,0,0,0
1062,0.45474558313546803,0,1,0
1068,0.3634826478336657,0,0,0
1075,0.358642009016191,0,0,0
1081,0.4269229213440353,0,0,0
1087,0.4609865998943782,1,4,0
1093,0.42220314834959916,0,0,0
1100,0.41294616943362755,0,0,0
1106,0.373790040393438,0,1,0
1112,0.355784291934325,0,0,0
1118,0.31101337393830875,0,2,0
1125,0.36092906559321886,0,0,0
1131,0.3776140978407105,2,2,0
1137,0.331124238134572,0,0,0
1143,0.27271625784604514,0,1,0
1150,0.27745783846260147,0,0,0
1156,0.3110530631784767,0,0,0
1162,0.364847567475525,0,2,0
1168,0.49975808749158424,0,1,0
1175,0.37808489084365116,0,0,0
1181,0.44720783386628377,0,2,0
1187,0.4376438429034111,0,1,0
1193,0.21328599242053348,0,1,0
1200,0.19962664493948204,0,0,0
1206,0.2689985789800747,0,2,0
1212,0.1914297279644729,0,0,0
1218,0.42264360769891124,0,5,0
1225,0.4374864100926366,0,2,0
1231,0.35822886012946037,0,0,0
1237,0.11145422487258623,0,1,0
1243,0.0638070030514304,1,1,0
1250,0.05655541558782664,2,1,0
1256,0.06684453896337123,0,1,0
1262,0.0712144449124478,0,1,0
1268,0.06309726604001524,0,1,0
1275,0.05199436655927877,0,0,0
1281,0.079828951169155,0,0,0
1287,0.08865397606402287,0,1,0
1293,0.09001211166523743,0,0,0
1300,0.09334489794831051,0,0,0
1306,0.07003062882797693,0,1,0
1312,0.05311634404555184,0,0,0
1318,0.3019998290961074,0,1,0
1325,0.5207365959061218,0,0,0
1331,0.8174171324163994,0,0,0
1337,0.6714579777462346,0,0,0
1343,0.5901676123090734,0,0,0
1350,0.8362522221264457,0,1,0
1356,0.7074897307794964,0,0,0
1362,0.5973067591241615,0,0,0
1368,0.6927011794174667,1,1,0
1375,0.6206749277795398,0,0,0
1381,0.6252429467883918,0,0,0
1387,0.8939031715127855,0,0,0
1393,0.46254030167881177,0,0,0
1400,0.28322337369442135,0,0,0
1406,0.2544138806791552,0,0,0
1412,0.3103108658851028,0,0,0
1418,0.3324794125650795,1,1,0
1425,0.43991704288173894,0,0,0
1431,0.48773788451122463,0,0,0
1437,0.4478431047733629,0,0,0
1443,0.544096463065446,0,0,0
1450,0.45687783924128983,0,0,0
1456,0.38424778968377615,0,0,0
1462,0.40389866040448374,0,0,0
1468,0.46491219838979,0,0,0
1475,0.5043514151238574,0,0,0
1481,0.42948320056485567,0,0,0
1487,0.18440070455422866,0,2,0
1493,0.17899548174439148,0,0,0
1500,0.18862528846230203,1,0,0
1506,0.24573027781940737,0,0,0
1512,0.1570188674540373,0,0,0
1518,0.16804300138166886,0,1,0
1525,0.04711369192593749,1,2,0
1531,0.06797123709439731,0,1,0
1537,0.03727233476018631,0,0,0
1543,0.04081706966967834,0,0,0
1550,0.04300427941082704,0,1,0
1556,0.05112029698566329,0,0,0
1562,0.03870572925050434,0,0,0
1568,0.03661334043808375,0,0,0
1575,0.03961766542142385,0,1,0
1581,0.0495746682434324,0,0,0
1587,0.05424923762028319,0,0,0
1593,0.07435153174687158,0,1,0
1600,0.038463018311997034,0,1,0
1606,0.03385066704967512,0,0,0
1612,0.041934647221190786,1,0,0
1618,0.05136984050346435,0,1,0
1625,0.04849523987153203,0,0,0
1631,0.05484273670659943,0,2,0
1637,0.05252936720131437,0,0,0
1643,0.061676241352810496,0,1,0
1650,0.06474484369115782,0,0,0
1656,0.04972133081987838,0,0,0
1662,0.10616069668540379,0,3,0
1668,0.7978448023973497,0,3,0
1675,0.9319877033222411,0,1,0
1681,0.7645383511877776,0,0,0
1687,0.7701177351702163,0,0,0
1693,0.7046121842537685,0,1,0
1700,0.6137237154423685,0,0,0
1706,0.6041735679302854,0,0,0
1712,0.3713779026711126,0,0,0
1718,0.42192542413875195,0,0,0
1725,0.3227272951505614,0,1,0
1731,0.26190438285452156,0,1,0
1737,0.2817104101738461,0,0,0
1743,0.26374626720179944,0,0,0
1750,0.19005068688996005,0,0,0
1756,0.45338534100691874,0,1,0
1762,0.20099309789783973,0,0,0
1768,0.18392332575613787,0,0,0
1775,0.21222151289919663,0,0,0
1781,0.23298714893801184,0,1,0
1787,0.16561372087467663,0,0,0
1793,0.1729158644435319,0,1,0
1800,0.13865342045982296,0,1,0
1806,0.10995952820964783,0,1,0
1812,0.038610859449918884,0,1,0
1818,0.02900637070484652,0,0,0
1825,0.025520486131436395,0,0,0
1831,0.02977220207175196,0,0,0
1837,0.04304791301504308,0,0,0
1843,0.037381480294111584,0,1,0
1850,0.03196509425442105,0,0,0
1856,0.029900806576501095,0,0,0
1862,0.028688965344288914,0,0,0
1868,0.028118331878410396,0,0,0
1875,0.03302985861972135,0,0,0
1881,0.02969021064621809,0,2,0
1887,0.02973193264087989,0,0,0
1893,0.033074587835570164,0,0,0
1900,0.026715784292479117,0,0,0
1906,0.026020109460632806,0,1,0
1912,0.02837715517189445,0,0,0
1918,0.03249917646852307,0,0,0
1925,0.035782935263480274,0,1,0
1931,0.03637714588528948,0,0,0
1937,0.033022759847625406,0,2,0
1943,0.03288834063042105,0,2,0
1950,0.04240071336837363,0,2,0
1956,0.030687621129647177,1,1,0
1962,0.029535716214739667,0,0,0
1968,0.024934069255740553,0,0,0
1975,0.022205838570641463,0,0,0
1981,0.02028119692124982,0,0,0
1987,0.03395196385376369,0,0,0
1993,0.025647168579811593,0,4,0
2000,0.03795585123093025,4,2,0
2006,0.050940685915938214,0,0,0
2012,0.061384154231840085,0,0,0
2018,0.050654331703101935,0,3,0
2025,0.040970838505770234,0,0,0
2031,0.032357974292510985,0,1,0
2037,0.025180176893703658,0,3,0
2043,0.020963916095151608,1,1,0
2050,0.018577429241174236,0,2,0
2056,0.019362492911505956,0,3,0
2062,0.09022086843198357,1,0,0
2068,0.10870214393407619,0,0,0
2075,0.051715040161985436,0,1,0
2081,0.04102183744656695,0,0,0
2087,0.09250344922231371,1,1,0
2093,0.08887554133830874,0,3,0
2100,0.3583360420613138,0,0,0
2106,0.39157876203854447,0,0,0
2112,0.6020155908109959,0,1,0
2118,0.27298155820260683,0,3,0
2125,0.026114424411176965,0,1,0
2131,0.018975478577380786,1,2,0
2137,0.025011753345025447,2,3,0
2143,0.019361619116022948,0,1,0
2150,0.024423918068616143,0,1,0
