river_mile,po_from,po_to,distance_to_river
187.25324108524276,1881,1959,211.88593477914648
179.15554030643224,1902,1919,3251.0266460727044
181.34533650961808,1919,1925,11.712176068762316
179.92874150934418,1903,1910,65.24537872079495
178.9194230563096,1909,1958,4564.9043912895195
190.32346132544993,1915,1945,319.24752964466825
195.53246730752488,1885,,398.44890240725255
196.12012684691294,1906,,599.7921213244407
147.8003010391465,1911,1936,910.9003177314356
154.03789247040584,1905,1909,2495.816015408119
143.92438999138386,1860,,790.423126529796
155.33953342631924,1889,1914,0.0
155.33953342631924,1915,1957,0.0
154.82924008438246,1914,1915,42.76308756511883
155.5460747826578,1926,,138.64880104447113
162.20451530379577,1886,1954,289.3000137486975
158.23968033073535,1860,1860,278.88400795809406
164.922808129772,1883,1908,114.19191327583891
158.95560946703415,1922,1953,106.11649447891757
158.23968033073535,1911,1922,1054.6385384580649
163.7635057949666,1909,1913,199.8622627427461
163.7635057949666,1922,1963,199.8622627427461
135.78928295526603,1912,1922,2432.705027258727
143.29003742296712,1937,,938.9320641224557
143.6398747938945,1932,1937,138.0107026400472
123.15487609082311,1858,,968.1283301057631
129.3347022122273,1884,,319.94145051099173
125.39919291351282,1896,,569.5070885309378
126.59675106967886,1906,1912,3561.3266277302473
122.6355892821682,1900,,92.59709689633684
124.29496190062514,1870,,683.3907352720831
136.44011825452048,1911,1916,333.3305716185856
134.73346184961156,1882,,509.1979318757619
167.46241507365397,1886,,379.79240367577506
168.3073507104288,1907,1950,273.80753518240857
204.51559072178907,1878,1885,78.6339467191703
204.51559072178907,1895,1895,78.6339467191703
204.51559072178907,1898,1942,78.6339467191703
211.67230952669897,1907,1962,145.353899070613
207.88472420055072,1926,1934,109.90653747792511
207.4192917498904,1905,1933,4956.968757382017
221.8604880715301,1916,,772.2287958173457
215.6004055248276,1883,1926,0.0
224.0862215823993,1906,1912,0.0
235.06710283878098,1903,,621.2675635399761
235.06710283878098,1897,1899,559.9912537523745
218.18981344014782,1910,1934,271.34101963055474
238.2502774788182,1922,1924,228.1097041284102
239.13199304680833,1911,1922,716.9409839040853
229.9279190623704,1904,,566.5429919343991
250.96852342558768,1880,1883,3995.0928989062954
259.69562888160556,1880,1881,121.06526421578133
259.69562888160556,1884,1912,121.06526421578133
245.22552612248987,1949,,879.6978802136726
242.28579894999777,1851,1852,558.2169333676932
242.28579894999777,1863,,558.2169333676932
252.09466355447142,1913,1949,55.20106028881323
252.1344398452123,1908,1951,43.607971189749954
242.29469780986045,1908,,161.14101423645494
59.74307277754852,1873,1912,4425.006431716988
59.74307277754852,1912,,4425.006431716988
62.334891332842346,1893,1894,4976.713713361079
61.7825654429739,1890,1903,2951.4654484801904
61.06619949872189,1891,1903,4638.933850866052
61.06619949872189,1903,1972,4638.933850866052
63.760365119855166,1890,1903,2914.8531617896083
68.85368252422579,1921,,1949.5762336194086
69.90205190435401,1890,1892,2432.269394694891
72.65518141965893,1882,1903,4509.626963072433
45.380435552066885,1885,1888,3855.4309019561338
45.380435552066885,1895,1961,3855.4309019561338
65.49228576570738,1943,1945,3615.923964126633
67.36366807016202,1901,1906,226.427757969713
70.56670028554976,1894,1917,311.4092240684416
65.4767077362047,1937,1950,1496.184614478846
61.99083181703879,1959,1959,702.7545840095155
62.58128639884892,1921,1935,193.74014092876268
61.794404405315554,1947,1947,354.0278319360126
60.9446497875467,1910,1973,355.58404361164276
62.778295960269624,1850,1852,52.327027376439744
61.37341043746856,1943,1948,1070.7550001584839
57.5009997395613,1851,1852,4136.217284423903
56.764501817148236,1873,1887,4935.175310315679
54.900629682025674,1852,1860,215.7072386245516
62.12137571623468,1954,1982,4580.306579169543
62.035157154416986,1850,,2113.798742692955
53.064916344021896,1882,1906,156.94198810779463
52.66875316674728,1890,1906,4092.8268917279897
49.74117563685014,1890,1905,3529.7982583536123
74.08534239460676,1914,,2590.110167422125
73.94072469621793,1948,,4641.390083139694
80.21065920977928,1900,1903,2290.924247957453
87.20451306641137,1887,,397.76001648403314
86.071429128955,1889,1896,4918.306828125945
84.98820617636505,1887,1960,1028.688883781078
84.98820617636505,1960,1964,1028.688883781078
92.31145724268688,1893,1894,92.0876198686616
89.03016143977104,1909,1938,0.0
81.76399864771584,1895,,1151.705413691384
82.46989855793682,1893,1895,2764.7656283384513
83.46062733678178,1876,1887,133.9869014927151
80.58158965766219,1882,1895,103.28746341494052
76.98536542450998,1880,,2584.273066539443
76.02092417714067,1894,,754.5585300008141
83.5529392496134,1912,1926,218.87448107126713
77.69402431802123,1852,,755.3503292153143
96.07653976872027,1894,1942,115.70986114422328
95.02802744943007,1915,1974,244.19385724289023
98.38850178039168,1928,1930,820.4823403407999
100.23593756059363,1922,1934,551.0012877050515
5.967629016633497,1871,,4643.1254384780195
4.006387732115558,1873,1960,2542.4618211423985
13.710341477684882,1889,1957,357.7766100628852
13.710341477684882,1957,1961,357.7766100628852
11.405357975236521,1892,1959,3067.3540925965103
11.405357975236521,1959,1966,3067.3540925965103
9.086942183696047,1876,1909,1216.3084821235893
7.388098244450706,1872,1878,584.6319909794847
7.388098244450706,1891,1894,584.6319909794847
9.872252330770003,1851,1937,643.9685729969722
4.840113898171244,1874,1911,317.14146432122516
0.7372628204872443,1917,1938,2153.8964726206805
0.0,1911,1963,2153.5615594299707
0.0,1863,1959,1192.9563217625366
2.0056882869425587,1929,1955,2606.7052114759226
12.738859903525762,1884,1935,116.53519416985611
119.25134996566949,1903,1909,81.6426441244761
115.72890325893202,1896,1919,137.00783902957443
110.69691171855794,1903,1936,395.23524226249714
112.13444420074373,1900,1918,143.07752283342452
116.05924768007739,1908,1965,109.58239437899333
116.05924768007739,1965,,109.58239437899333
103.402551167899,1878,1981,255.49126318624846
109.99901159205652,1873,1878,86.41602890471377
108.35651550620251,1894,,1111.0070682590365
104.86207730263962,1894,,475.97300127921886
121.17507921999018,1910,1915,157.42827037490235
46.19726802382014,1890,,3441.2411144908015
41.491656426129325,1870,1872,3157.8547944817483
39.958234909962385,1871,,102.42354028446405
41.840634282681854,1913,,691.5685190233488
39.0554118061023,1890,1909,275.3676601150957
40.31909551450663,1882,1890,3787.6281367511006
