river_mile,po_from,po_to
58.9738138080825,1801,
58.970687175085,1826,
56.614259461077246,1792,
61.5780392803362,1888,
61.51950367547555,1827,1829
61.51950367547555,1837,1895
61.869651123426664,1880,1921
65.53403890939877,1890,1958
64.03543385518223,1794,1895
64.03543385518223,1905,
68.646110540354,1922,1933
70.51483309985201,1821,
69.39087653155153,1916,1918
69.39087653155153,1918,1975
67.2566694862402,1828,
65.35383078966682,1844,1846
65.35383078966682,1846,1846
65.35383078966682,1869,1880
65.35383078966682,1881,
75.96016526354866,1825,1851
75.96016526354866,1851,
70.95073606105353,1893,1895
70.95073606105353,1905,1912
70.95073606105353,1912,
73.04403932195974,1882,1948
73.29837590418752,1887,1907
71.43878256955679,1884,1950
74.07173052945777,1889,1950
74.73423149577866,1950,1953
74.73423149577866,1925,1931
75.552117621537,1887,1920
75.10720576693792,1853,
74.73423149577866,1884,1950
76.99880395876576,1889,1956
76.99880395876576,1956,
77.58469965528164,1923,1956
77.62848629094935,1813,1816
77.62848629094935,1825,1859
77.62848629094935,1892,1895
77.62848629094935,1905,
76.33160797232584,1908,1917
78.12158325242046,1882,1902
81.5464141281016,1789,
80.00685052492867,1944,1955
80.00685052492867,1955,1970
79.18614978291899,1856,1898
78.194187998777,1887,1895
80.65799793696009,1870,1944
80.65799793696009,1944,1962
82.98181354177564,1884,1895
82.98181354177564,1905,1985
82.98181354177564,1895,1905
82.1831164020219,1889,1916
82.1831164020219,1922,1977
82.51781271992844,1829,1872
82.79128642046284,1892,
81.98024141249965,1878,1969
82.98181354177564,1887,1899
82.98181354177564,1904,1922
82.98181354177564,1923,
82.98181354177564,1886,1887
84.03119813251168,1885,1941
83.75919255296354,1932,
82.98181354177564,1872,
82.98181354177564,1889,1960
82.98181354177564,1960,1982
79.9025415990861,1844,1849
79.9025415990861,1850,1854
79.9025415990861,1854,
84.41528305256509,1874,1877
84.41528305256509,1877,1913
85.17838359933555,1882,
86.98061089078624,1893,
86.98061089078624,1844,1846
86.98061089078624,1853,1893
84.39248782036903,1891,
85.14019528014126,1906,1920
85.14019528014126,1921,1985
87.25319077660247,1831,1838
87.25319077660247,1892,
