river_mile,po_from,po_to
0.0,1893,1954
0.4575990459682093,1871,1872
0.4575990459682093,1917,
0.677421019090399,1952,
0.10592911363483383,1947,
0.0,1840,1853
0.0,1865,1873
0.0,1905,
0.0,1867,1883
0.0,1840,
2.6436106997838356,1816,1840
2.6436106997838356,1840,
4.556878185648639,1827,1829
4.556878185648639,1879,1914
4.556878185648639,1964,
4.556878185648639,1914,1925
4.556878185648639,1925,1964
4.319955394997785,1867,1925
4.319955394997785,1946,
4.319955394997785,1925,1946
4.319955394997785,1861,1867
2.5788633850520646,1852,1925
2.686530507558371,1932,1949
3.198695430231814,1937,
3.4990769266111075,1897,
2.2409855058324175,1977,
4.76027491344715,1924,1949
5.245855375908188,1929,
4.298057721224164,1949,
4.772387433585094,1934,
6.1591539601233,1887,1902
6.1591539601233,1902,
6.1591539601233,1874,1887
4.909980760398926,1845,1861
4.909980760398926,1861,1914
6.6273896845165225,1936,
4.833784402134698,1925,
5.668369217691602,1925,
8.241910689617116,1895,1931
8.241910689617116,1931,
7.45954095889891,1869,
7.006344726649602,1853,1873
7.006344726649602,1901,1957
7.006344726649602,1957,
8.802510944177728,1875,
6.425740914383963,1849,1863
8.361800114747542,1808,1863
8.734805250290217,1850,
8.873232305613891,1947,1962
8.873232305613891,1962,
8.989050691775542,1879,
9.691772912027936,1907,1956
10.702713241959984,1838,1840
10.702713241959984,1854,
10.702713241959984,1914,1924
11.162095179635799,1852,1863
9.790822673027165,1945,1962
10.22303147547706,1951,
10.41204831310554,1932,1962
10.41204831310554,1962,
9.541946645462783,1947,1962
9.541946645462783,1962,
10.294303945137322,1874,1875
10.294303945137322,1850,1874
10.294303945137322,1947,1962
10.294303945137322,1962,
10.193951067177771,1950,
11.130558746962185,1868,1921
11.130558746962185,1921,
9.343037248469377,1912,1926
9.822073042832939,1889,
9.867751743325421,1887,1902
9.867751743325421,1921,
9.867751743325421,1908,1921
9.867751743325421,1902,1908
16.97719930724928,1863,
13.13791810421704,1861,
15.874645069123972,1865,
12.686091764851096,1874,1875
12.686091764851096,1850,1874
12.686091764851096,1914,1962
12.686091764851096,1962,
11.71149810515271,1914,1962
11.71149810515271,1962,
11.618561446360596,1945,1962
11.618561446360596,1962,
12.042887497310408,1914,
12.498353023132601,1948,
11.984088206884843,1954,
12.45699143548478,1921,
13.072833082623612,1874,1882
14.582996280374546,1945,1962
13.660836615657713,1914,1962
13.660836615657713,1962,
13.584735053179614,1874,1881
13.584735053179614,1856,1874
13.987544067321677,1929,1962
13.987544067321677,1962,
14.22110562367947,1914,
37.1308960048439,1815,
37.1308960048439,1834,1865
39.36746692958057,1870,1895
39.36746692958057,1905,
38.20935937158625,1879,
37.852712964369786,1893,
16.5067763436631,1854,1860
15.223527010881966,1890,1892
15.223527010881966,1897,1899
15.223527010881966,1874,1881
15.223527010881966,1944,
18.196391543161496,1871,
18.83181001724158,1861,
17.99649718745991,1871,
17.04301816559689,1796,
22.072518049976132,1891,1963
22.82019068816738,1875,
21.40761219780486,1935,
21.128060776715973,1904,1918
20.25492333738731,1892,1935
20.25492333738731,1935,1956
20.25492333738731,1851,1901
22.352900941160126,1855,
19.329678450260207,1885,1910
21.86371846424593,1887,
21.22906860819498,1868,1906
21.22906860819498,1906,
27.879887583939354,1891,
26.292597556624074,1886,
26.231519279007472,1875,1895
24.769322335347486,1894,
24.769322335347486,1829,1835
24.769322335347486,1861,1894
24.769322335347486,1815,1822
24.769322335347486,1839,
24.591434854479978,1872,
23.304339259674666,1812,1834
23.304339259674666,1890,
23.304339259674666,1934,1839
23.304339259674666,1823,1828
27.849015163112544,1833,
28.546466659006665,1914,1917
27.12503125479037,1832,
29.049702077192908,1885,1899
33.18968472379616,1890,
32.339965432030155,1842,1966
29.605508655402744,1873,1879
29.605508655402744,1891,
30.573216288794644,1908,1914
32.13315585556724,1901,
28.592441488693172,1881,1890
28.592441488693172,1890,1932
30.573216288794644,1864,1894
30.573216288794644,1928,1964
30.573216288794644,1967,
31.609788186621778,1830,1901
31.235283025554036,1813,1821
22.725142455000988,1883,
24.046471146102697,1919,
24.046471146102697,1919,
25.739624481363304,1866,
24.046471146102697,1854,
27.81876850868827,1885,1956
0.677421019090399,1898,1938
0.9692028868114348,1955,
0.677421019090399,1918,1930
3.435658237439072,1934,
0.677421019090399,1947,
0.677421019090399,1947,
0.7889009325162065,1775,
0.677421019090399,1885,1886
0.677421019090399,1905,
0.9405809010278015,1829,1873
4.427675745546664,1924,
5.013509244604842,1968,
4.50312737720324,1909,1930
4.50312737720324,1945,
5.583655920228953,1947,
4.716890955177733,1861,
3.463670875911813,1947,
5.013509244604842,1857,1947
6.790640979282477,1842,1888
6.790640979282477,1888,1896
6.790640979282477,1907,
6.383064281519821,1946,
