river_mile,po_from,po_to
225.38050994299425,1930,1955
223.52118046151045,1915,1993
225.4981853172234,1885,
225.4981853172234,1847,1873
225.38408505370703,1891,1909
227.48233997286107,1873,1899
228.1157730563024,1885,1930
247.06885346598804,1891,
245.89454959324777,1878,1915
245.42993741673627,1844,1902
241.09151655277293,1877,
248.47882364087098,1929,1940
248.0355975479896,1836,1902
249.4789621982583,1902,1954
238.09818926993705,1894,1949
237.0979606294462,1908,1911
236.25797437797323,1912,1965
240.3544840787309,1833,1853
240.3544840787309,1918,
155.5967535278963,1892,1954
165.88537396612705,1902,1912
158.76058144258727,1896,1919
158.76058144258727,1889,1896
164.28272629274673,1833,1833
163.7762545413699,1891,1928
162.1876345590869,1877,1955
156.16276323151766,1888,1954
159.34772154892468,1912,1992
155.5967535278963,1888,1954
165.88537396612705,1887,
151.00176623080515,1884,1955
151.00176623080515,1955,
146.12774876096174,1881,1955
151.36348452562356,1886,1914
155.06413349671027,1881,
154.70950935942682,1808,1810
154.70950935942682,1822,
153.3824104248424,1851,1955
148.05610937725834,1889,1935
147.9099729359304,1889,1955
144.7798505201819,1872,1972
136.63217836718252,1896,1926
142.57545196237248,1921,1958
132.3279583061758,1892,1914
134.22497887522454,1904,1942
133.12123930586733,1881,1914
133.12123930586733,1924,
171.66680341666677,1875,1876
167.83241154705578,1837,1992
165.88537396612705,1881,1918
168.70694702663732,1833,1834
178.28813720481716,1875,1909
177.90363001762492,1822,
176.29252170424965,1891,1916
171.66680341666677,1881,1915
174.6535476440658,1892,1932
175.02409836661315,1879,1886
173.02314990167739,1813,1857
173.02314990167739,1893,1987
176.88769281850077,1895,1905
174.28218020080524,1890,1922
169.6763593764847,1857,
172.10464472761578,1886,1976
181.96639768876875,1909,
182.5691005971145,1840,1874
182.45185978080414,1906,
182.5691005971145,1875,1897
183.17059796271877,1892,1955
188.765648863304,1925,1925
181.96639768876875,1894,1936
185.00362543210952,1937,1941
187.82462717626188,1812,
193.60937693347643,1870,1871
189.81885272610796,1927,1940
189.81885272610796,1940,1948
190.2908565631047,1910,1943
193.60937693347643,1881,1955
187.94548628883825,1878,
191.81697128199622,1892,1907
191.8620113614135,1918,1946
191.8620113614135,1940,1948
191.8620113614135,1946,
187.73209539297125,1836,1875
193.8212905649975,1914,1917
201.6609024764458,1880,1956
200.02015170264679,1923,1990
197.6687998890589,1905,1955
205.47234762379412,1899,
200.46022687425665,1900,1956
207.58306451429291,1888,1930
203.54521756591046,1909,1918
203.54521756591046,1840,1844
199.58757661869856,1888,1923
203.61231797875865,1908,1928
209.42891263523347,1900,1916
213.8282459510497,1880,1895
213.8282459510497,1895,1919
219.72199407677405,1902,1940
217.4076837913085,1879,
216.75265233832025,1877,1913
217.8149998719503,1920,1924
208.20301622409937,1885,
208.36215300005804,1840,1895
208.3752549345761,1911,1954
213.4157691688562,1939,1989
213.4157691688562,1812,1880
213.4157691688562,1895,
117.880075378798,1892,1972
123.98274460937185,1894,1954
119.13559506898636,1884,1973
127.43475286120832,1884,1964
127.43475286120832,1910,1917
127.43475286120832,1964,
121.85551190610114,1900,
129.21046888004258,1886,1961
161.5258475738746,1888,
163.12889335358904,1889,1891
163.12889335358904,1905,1909
18.112810306324665,1878,
15.73560991277625,1882,1918
53.55511914725991,1876,1923
50.91210391801943,1910,1992
55.59541991070538,1925,1940
56.578258661607805,1895,1931
53.1352563285717,1896,1921
55.748453235696665,1914,1941
84.63906929808266,1890,
85.83792885811246,1916,
87.60520157140539,1893,
59.84680538769299,1856,1860
63.915454521227396,1912,
58.27157838087436,1869,1871
58.27157838087436,1893,1941
62.14555476767361,1879,1895
62.14555476767361,1906,1912
60.786178601987146,1880,1941
57.90803421766899,1901,1910
106.34279786151725,1866,
105.18536698105602,1916,
114.8029290194854,1887,1989
105.80977015348446,1878,
114.44925727644824,1905,1927
112.94682038372873,1905,1967
110.34868662319549,1950,1960
109.4177682252025,1937,
110.97808723214786,1930,
109.59091491714194,1885,1894
110.75229493803616,1886,1894
101.36369535325993,1891,
92.24038717634328,1967,
94.53996963077458,1917,1951
94.0607740366165,1882,1919
90.53010291731343,1854,1870
90.53010291731343,1901,1911
90.53010291731343,1901,
90.53010291731343,1938,1954
66.6179085597109,1902,
65.78981083404851,1852,1919
74.2668986900728,1914,
69.4475781574736,1880,1922
69.76642550877264,1855,1856
69.76642550877264,1902,1902
70.63632949289875,1890,
81.30759353725573,1854,1882
78.38780458270443,1882,
75.3162921294834,1895,
83.63803461604006,1869,
82.12590165299636,1883,1916
82.7638737701131,1893,1926
81.69548144754376,1804,
82.77520846161305,1968,
13.183268695138235,1869,
8.722849124343647,1830,1837
13.872407553162166,1901,1950
13.54900405291455,1889,1925
10.487549525136961,1896,1965
25.212452161412635,1884,1925
28.124125827906767,1854,1895
26.94575292912896,1871,1895
20.85191134453008,1891,1974
29.12739340774195,1895,1927
20.617909803081982,1880,1920
28.1273918852288,1934,
29.272090644623987,1888,1954
34.06093339368487,1894,1896
41.12976866352693,1912,1989
33.91209666009527,1878,1974
32.09094623948092,1874,1958
42.520990348623904,1882,1922
35.83679488346844,1889,1891
47.632713050567,1882,1920
47.632713050567,1922,1954
42.38012719150492,1880,1926
47.44341566823988,1893,1945
37.34030914861914,1852,
