river_mile,po_from,po_to
344.42994091868,1885,
336.9096939939616,1887,1902
344.20931513316253,1866,1913
343.84150907370207,1846,1861
343.84150907370207,1861,
363.4084827787285,1856,1878
368.536376890876,1875,
369.4597913470607,1942,1971
355.05614121785356,1878,1887
356.9212170832419,1889,1976
357.27032754375193,1869,1906
360.9038348516541,1899,1944
360.52302281782875,1869,
354.4606122690261,1867,1875
350.27252122449335,1857,1909
350.27252122449335,1921,1954
353.11345746758457,1841,1962
353.11345746758457,1962,
371.2496031038559,1871,
371.68378618211386,1855,1871
369.1830796235666,1936,1971
375.8540443095221,1946,1960
375.8540443095221,1870,1870
375.8540443095221,1874,1946
369.1557910947972,1883,1966
366.64851322176315,1852,
371.4110437384289,1890,1913
335.9430979565049,1888,1891
332.2224199244565,1888,1962
335.9430979565049,1921,1928
330.0161547809476,1826,1853
334.99849662569574,1827,
335.7094130664549,1904,1951
335.7094130664549,1951,
336.8543288922833,1921,1928
335.9430979565049,1923,1928
335.9430979565049,1890,1928
341.8546440812389,1888,1902
340.0187464832788,1888,1904
340.8578240678729,1915,
340.4805486776157,1874,1904
340.4805486776157,1860,1867
342.52095628541,1891,1925
342.52095628541,1925,
347.9623047198476,1927,1947
339.0239905341286,1922,1935
339.8766052835178,1922,1923
333.62279445987474,1888,1956
338.8424118368379,1920,1928
338.7874468586965,1844,1852
338.7874468586965,1887,1920
331.4409683719942,1871,1873
327.1612777417575,1888,1976
319.23983267042115,1835,1895
323.50083043825725,1867,
316.3665871194876,1842,
311.56644610527746,1877,
309.12184466221026,1869,
309.12184466221026,1858,1861
286.63014026959354,1835,
305.6128434954055,1838,
297.41104112021367,1831,1831
313.94713393478594,1873,
307.5591242535802,1877,1909
303.39338109690294,1840,
269.72715900459235,1899,1905
263.4326598163054,1899,1902
261.59796985766474,1831,1849
261.59796985766474,1888,1983
281.883820616121,1888,1963
272.5384588275212,1821,1821
259.7787539088774,1860,
285.18816757086915,1858,1903
280.0363544334626,1884,1905
275.1425166248318,1854,
275.1425166248318,1822,1833
321.24738696746005,1895,1906
246.53637600012524,1838,
248.07406851734206,1869,1951
253.18981969557203,1876,1995
165.5280978986281,1899,1907
