river_mile,po_from,po_to,distance_to_river
398.33652280416504,1888,,62.01181463253611
366.2519613262365,1897,1919,238.80237929209338
385.94922514935314,1910,1914,506.8715826291108
359.34482885066774,1897,1923,1802.5909022864557
342.21493009334176,1914,1918,1389.4491014109165
354.13939253606867,1917,1934,290.73795579213436
336.02194133418425,1900,,556.1289969873849
342.01107729649783,1920,,4394.066558221203
344.1343786828327,1922,,905.8116423879194
347.79923387819514,1879,1886,1263.3378576608243
324.5767186366459,1919,,526.8363025776662
314.528289520481,1889,,795.1532335682311
320.9111307228529,1886,1887,1547.6207449196027
320.9111307228529,1890,1895,1547.6207449196027
320.9111307228529,1896,1914,1547.6207449196027
320.9111307228529,1929,1932,1547.6207449196027
318.4874657247681,1867,1868,76.11658028714083
333.7285682777561,1916,,4437.3458496704225
333.7285682777561,1916,1916,4437.3458496704225
477.47503328791436,1902,1911,3930.79092403766
474.23324335105286,1898,1910,2716.1121364198802
453.57455746144126,1883,,1513.6888924067716
464.31487579300716,1892,,1963.1676988667934
464.31487579300716,1915,1965,4952.117187863376
440.17663539908546,1879,,926.4368468658005
431.40706100994566,1910,,1819.573994154754
426.5615928123089,1913,1915,102.96537168213969
443.66139840935676,1908,1992,255.1226865674205
431.57367215656564,1884,1910,0.0
547.5346003843116,1907,1981,2678.5916088620943
539.085198962013,1917,,2788.6500232475805
547.0071805254662,1906,1916,879.1294623244344
519.91441260949,1903,1944,881.2770340664507
512.1561856259713,1905,,1026.9338402457429
503.5766400394631,1905,,4159.695739723616
493.8727347399879,1904,,3925.6081179211296
531.8902104696679,1905,,1640.4097520067878
533.0325439882607,1905,,775.954021077123
527.6852674558208,1909,1912,1271.27166768166
589.3072848958225,1882,,532.4642405644473
584.5622146557498,1902,1918,894.8171364998922
565.2405989355165,1878,1879,1080.706996261636
23.434051509589416,1910,1963,89.64751275390007
1.6414360804366015,1879,1885,317.02362746724566
1.6414360804366015,1907,1907,317.02362746724566
1.9507816696155922,1908,,649.6589979420289
0.0,1906,1935,4683.937474145171
27.089798579882867,1902,1915,207.6041701026533
47.014585304808506,1951,1960,236.89655278685083
60.72997542159387,1882,1945,71.20898275652891
60.72997542159387,1947,1963,71.20898275652891
58.143768659060726,1883,,4016.533230131305
757.407525151806,1921,1943,338.9332379381019
609.1448525622845,1905,1963,2654.752378720321
609.1448525622845,1887,1887,2654.752378720321
628.872442230008,1879,,1927.3041586894612
625.5391655774088,1894,1905,2548.7577391392197
622.0054778879369,1898,1905,3532.7800160248044
646.2934403946174,1893,,1151.1639270139142
641.2556465301549,1888,,810.5920273056435
640.3930096856286,1905,,674.2540430060176
635.1658954541064,1904,1908,1708.163711939442
647.9520721755707,1901,1905,169.66708701752438
660.2363466701598,1903,1909,314.5035296178009
653.6057106611829,1890,,1862.6240348110912
738.1372081169526,1910,1956,99.70994925963173
718.0242027405836,1897,,953.6528170926828
723.4072019577878,1952,1993,169.0285782302343
740.9437584361299,1918,1934,277.886574792661
740.9437584361299,1918,1959,277.886574792661
740.9437584361299,1937,1942,277.886574792661
740.9437584361299,1956,1959,277.886574792661
773.5426915854491,1898,,2459.4439043159555
714.5608883457844,1917,,2232.1782771361986
690.9634840393165,1894,1910,856.4274851410489
686.7720513652536,1916,,3988.8812371595727
664.3057517588869,1896,1906,3404.285429780336
683.7647914100339,1892,1906,4594.256620495054
675.8553214077397,1896,1906,3160.98276464027
682.9868986144191,1902,1920,2010.693068485892
675.6535654359021,1889,1905,1504.4817665831595
680.2388642476963,1889,1906,1744.9586971916267
678.9923391476091,1901,1973,346.4651536507272
680.898089720313,1887,1914,2665.625527544475
678.5629045816664,1904,1965,3375.8131832676713
690.0680452891545,1900,1944,797.5604926420426
685.6354117909422,1900,1922,1485.8909188300854
665.7180797169617,1893,1906,3648.713628479573
671.2007219976751,1885,,3343.9145067513286
668.2679871864672,1910,,1885.3612370154185
791.332754774812,1926,1962,4789.7675340368905
798.1007125839845,1897,1968,1839.8387565567605
786.4956919555171,1899,1950,3865.4625025417154
785.7865640462966,1923,,304.7606365843316
801.2253149816185,1902,,668.7426023100238
598.6824676900293,1907,,3422.2123660929956
605.9448878949964,1911,1978,618.0335767209864
305.05928146289295,1910,,1596.4465705836878
300.4130071676284,1883,,1769.7849334550438
302.0611698911423,1873,1898,1269.3019503886717
311.16970285987964,1896,1908,986.1425915044961
306.1314890102376,1879,1944,701.7191505250609
303.97697894832766,1884,,1574.8638825134065
293.3523740289337,1893,1911,1150.7438798512885
275.78787248438687,1882,,1607.0261289875873
260.63600524343025,1887,1911,3373.592663431705
271.24018064585283,1913,1926,1.2654309736190295
262.8036732020647,1911,1946,0.0
258.7916689456294,1884,1919,3832.370393848941
253.5187590787072,1897,1899,0.0
254.32811298259261,1900,1904,0.0
245.72917224323578,1909,1957,0.0
239.2990909496029,1910,1911,192.45569438371368
239.2990909496029,1914,1943,192.45569438371368
227.04314725349786,1899,1927,227.8094358682991
223.35925574955718,1900,1965,192.3054792648495
226.95103401541914,1965,,397.0780820961622
206.93911867939573,1891,1936,4932.506191149983
184.67010910168563,1885,,1174.6031387186138
240.7865296898452,1900,1944,3980.242823923618
234.26181586843953,1907,1952,3049.968784918247
168.26708454126464,1904,1907,0.0
74.0430347637274,1877,1881,0.0
74.0430347637274,1924,1945,0.0
116.3442232231087,1883,1931,418.7378365410454
140.25491559851662,1905,1916,237.5189292143789
145.30727237163092,1912,1929,122.2173046359953
145.30727237163092,1931,1934,122.2173046359953
145.30727237163092,1935,1939,122.2173046359953
143.3074314081986,1902,1912,2639.650249632326
126.10425672894648,1884,,203.32651662329198
126.10425672894648,1878,1884,203.32651662329198
125.08154939530665,1906,1918,4439.912163021399
122.79737276644109,1862,,1110.245840805368
121.99137307044813,1900,,628.6822696366717
104.99323400581063,1913,1925,79.66080554576621
98.63372448056826,1885,1967,0.0
93.18630536301598,1878,1961,96.5585068754757
82.66383813103425,1876,1937,42.28398242108548
84.43397847211382,1889,1910,3455.8231141686038
