river_mile,po_from,po_to,distance_to_river
496.33021757606593,1891,1912,2306.3403847483087
500.94373048359415,1849,1852,3367.988488342875
495.3038576445179,1891,1964,1948.6173595166222
508.07874601445457,1874,1912,2267.602851256264
201.31289588025666,1811,1856,4075.1313374981846
190.64754375047838,1880,1955,669.7936752174612
187.10077207995548,1890,1898,26.760121790674212
190.08640851009412,1894,1898,58.11748098121865
187.10077207995548,1857,1859,1507.746742807047
188.3274894474558,1908,1910,476.5351810265559
199.72457185272387,1903,1916,1097.3961531351777
189.808095955985,1900,1912,171.05994230408805
181.00043695846634,1890,1906,1458.5562073976475
188.55906610131072,1890,1937,526.6850754089896
189.07273621236925,1829,,308.35644594371337
182.60759741635206,1878,1879,57.50639735809899
187.21581403472447,1877,1893,85.2443313751979
179.36134363059074,1843,1846,346.256395682436
180.4243987640005,1888,1928,1881.7425062662671
189.5878565382527,1836,1836,57.448150962477904
193.7595205072709,1891,1914,436.2451474707075
211.65531483834346,1884,1889,4477.843124192718
214.83219978237108,1823,,2891.3926906505662
205.37140411983285,1859,1972,3143.8380850744834
201.18153037273478,1888,1905,3864.4518429604673
201.18153037273478,1846,1854,3864.4518429604673
203.25539986626578,1860,1866,772.0980521766548
203.25539986626578,1852,1856,772.0980521766548
203.29644836755136,1886,1927,878.4582224455894
219.56168692881832,1894,1900,1029.5901925464761
218.05222975674062,1818,,1172.4721003621692
216.9796016327478,1918,1927,3876.8074633701303
215.93139000214614,1837,1837,860.6972140906205
215.93139000214614,1884,,860.6972140906205
217.97765730750075,1826,1902,470.140913122412
218.82010221853506,1934,1941,1016.8619533911562
177.93831215434966,1902,1904,3540.546604117394
175.68378287133473,1843,1856,53.31067363988261
175.68378287133473,1878,1883,53.31067363988261
174.34435458569828,1846,1917,1284.886572331812
174.34435458569828,1880,1880,1284.886572331812
163.60964401187368,1872,1961,439.45089694089586
172.44064995504277,1867,1887,0.0
167.55519058091957,1837,1953,358.8124826693681
166.7886472851581,1880,1920,3634.9852570295475
171.60304537724883,1883,1907,320.35611510999155
169.25860496850524,1896,1919,1989.4920388835158
157.07403702124572,1899,1902,2459.18972167994
